old_class,source_file,new_token,dest_file,group_folder
font-mono,main.sass,f-font-mono,_typography.sass,content
text-gold,main.sass,f-text-gold,_typography.sass,content
text-gold-value,main.sass,f-text-gold-value,_typography.sass,content
lnk,main.sass,c-link-interactive,_cards.sass,components
grid-2,main.sass,l-grid-2,_grid.sass,layout
grid-3,main.sass,l-grid-3,_grid.sass,layout
expansion-viewport,main.sass,l-expansion-viewport,_grid.sass,layout
no-decor,main.sass,f-no-decor,_typography.sass,content
default-margin,main.sass,l-default-margin,_grid.sass,layout
mt-1,main.sass,f-mt-1,_typography.sass,content
mt-2,main.sass,f-mt-2,_typography.sass,content
mt-4,main.sass,f-mt-4,_typography.sass,content
showcase-grid,main.sass,l-showcase-grid,_grid.sass,layout
detail-view,main.sass,l-detail-view,_grid.sass,layout
era-header,main.sass,l-era-header,_grid.sass,layout
description-container,main.sass,l-description-container,_grid.sass,layout
hero-intro,main.sass,l-hero-intro,_grid.sass,layout
leadership-section,main.sass,l-leadership-section,_grid.sass,layout
leadership-node,main.sass,l-leadership-node,_grid.sass,layout
desktop-only-viewport,main.sass,l-desktop-viewport,_grid.sass,layout
gold-bullet,main.sass,f-gold-bullet,_typography.sass,content
brand-logo,main.sass,c-brand-logo,_cards.sass,components